abandonne,自由に、制限なしに,気をつけて,愛を持って
ravvivando,再び活発に、より速く,勇気ある，勇敢な,深い悲しみをもって
recitante[reciando],となえて、朗誦のような,やわらかに、次第に静かに,泣きながら
retenant,ためらって、抑えて,再び活発に、より速く,豪華な、きらびやかな
rigoroso,正確な、厳格な,勇ましく、尊大に,楽しい
ripieno[rip.],独奏群に対しての合奏群の呼び名,副次声部,主声部
sanft,柔らかい、やさしい、穏やかな,正確な、厳格な,勇ましく、尊大に
saltato,少し弦の上をバウンドさせる運弓法,圧力をかけ強いスタッカートをつける運弓法,なめらかに弾くこと
schwach,弱い、勢のない,となえて、朗誦のような,深い悲しみをもって
schwungvoll,活気ある,弱い、勢のない,豪華な、きらびやかな
sentito,感じて、感情をこめて,暗く、悲しく、埋葬にふさわしく,豪華な、きらびやかな
singhiozzando,すすり泣くように、むせぶように,陽気な、快活な,流暢に、流れるように
slargando,次第に幅広く、次第におそく,やわらかに、次第に静かに,急迫に、次第に速く強く
slentando,次第におそく,やわらかに、次第に静かに,急迫に、次第に速く強く
sospirando,嘆いて、悲しみに沈んで,やわらかに、次第に静かに,楽しい
spianato,なめらかな、落ち着いた、安らかな,嘆いて、悲しみに沈んで,やわらかに、次第に静かに
spiccato,少し弦の上をバウンドさせる運弓法,圧力をかけ強いスタッカートをつける運弓法,なめらかに弾くこと
stentando,引きずるように、次第におそく,次第に幅広く,悲しげに
stravagante,風変わりな、奇抜な、幻想的な,悲しげに,優しく、柔らかい
strepitoso,騒々しく、強烈に,風変わりな、奇抜な、幻想的な,嘆いて、悲しみに沈んで
supplichevole,すがるように、哀願するように,風変わりな、奇抜な、幻想的な,陽気な、快活な
tasto solo,和音をつけず通奏低音のみで,独奏群に対しての合奏群の呼び名,主声部
trionfale,凱旋の、祝勝の,物思いにふけって、憂いに沈んで,悲しげに
tristamente,痛々しく、ひどく悲しんで,凱旋の、祝勝の,風変わりな、奇抜な、幻想的な
tumultuoso,動揺して、激しく、性急に,すすり泣くように、むせぶように,陽気な、快活な
veemente,激しく、情熱的に、興奮して,すすり泣くように、むせぶように,陽気な、快活な
velato,ヴェールにつつまれた、ぼんやりした,再び活発に、より速く,上品、気高く
volante,飛ぶように、軽快に,痛々しく、ひどく悲しんで,騒々しく、強烈に
